alpha_deg,CL_inc,CL,CDi_inviscid,CDi_corrected,CL_squared,e_inviscid,e_corrected
-2.0,-0.1149319790778265,-0.1436649738472831,0.001660223009737776,0.0019767858373426496,0.02063962471054054,1.0146608130128405,0.852172854044563
-1.0,-0.057488658230487454,-0.07186082278810932,0.000415372010471125,0.0004945730198363844,0.005163977851784051,1.0146883231390587,0.8521959586943867
0.0,4.0343424371954667e-16,5.042928046494333e-16,-5.674186643981084e-32,-5.674186643981084e-32,2.543112328211915e-31,,
1.0,0.057488658230488286,0.07186082278811036,0.0004153720104711152,0.0004945730198363726,0.0051639778517842015,1.0146883231391122,0.8521959586944317
2.0,0.11493197907782746,0.1436649738472843,0.0016602230097377579,0.0019767858373426275,0.020639624710540882,1.0146608130128687,0.8521728540445868
3.0,0.17228471523760733,0.21535589404700914,0.003730761407266074,0.004442123900904697,0.04637816110078662,1.0146156796574497,0.8521349483525498
4.0,0.22950179932640438,0.28687724915800544,0.00662067956223274,0.007883076861025282,0.08229855608446433,1.0145539993520072,0.8520831455419423
5.0,0.2865384332517126,0.3581730415646407,0.010321171264977407,0.012289159385050184,0.12828792770366582,1.0144772808944853,0.8520187127915435
6.0,0.3433501768749896,0.429187721093737,0.014820956143834663,0.017646940217770107,0.18420209993763537,1.0143874676408124,0.8519432822479255
7.0,0.39989303573519674,0.4998662946689959,0.020106310930367445,0.023940079408148757,0.24986631254611144,1.0142869401726398,0.8518588532659801
8.0,0.45612354760278223,0.5701544345034778,0.02616110749719712,0.031149373600011722,0.32507607918398057,1.0141785196291173,0.8517677952071434
9.0,0.5119988676372268,0.6399985845465335,0.03296685756405066,0.03925280926241396,0.40959818822156635,1.014065471745782,0.8516728508314959
10.0,0.5674768519250821,0.7093460649063527,0.040502763949323554,0.048225623713588434,0.5031718397981275,1.0139515116537572,0.8515771403284169
11.0,0.6225161391798697,0.7781451739748371,0.04874577822651548,0.05804037377101591,0.6055099117803294,1.013840809500683,0.8514841660373788
12.0,0.6770762303901865,0.8463452879877331,0.05767066462731009,0.06866701183921697,0.716300346499039,1.0137379969654154,0.8513978179193802
13.0,0.7311175662080259,0.9138969577600323,0.0672500700159097,0.08007296922643475,0.8352076494030423,1.0136481747496613,0.8513223798488702
14.0,0.7846016018753439,0.9807520023441798,0.07745459974259565,0.09222324646156413,0.9618744901021181,1.013576921140316,0.851262536804911
15.0,0.8374908794938263,1.0468635993672828,0.08825289916833888,0.10508051036345764,1.0959233956802228,1.0135303017499118,0.8512233830517897
16.0,0.8897490974498506,1.1121863718123133,0.09961174063670854,0.11860519759619272,1.236958525645037,1.0135148805558056,0.8512104314103883
