alpha_deg,CL_inc,CL,CDi_inviscid,CDi_corrected,CL_squared,e_inviscid,e_corrected
-2.0,-0.2557187842111266,-0.31964848026390824,0.009746746013606105,0.011484308092816812,0.10217515093502613,0.8556007549369878,0.7261493840135245
-1.0,-0.18999534445070393,-0.2374941805633799,0.005911593147151003,0.006965458720940702,0.056403485801471295,0.7787300396031847,0.6609091159723501
0.0,-0.12402848246720379,-0.15503560308400471,0.003256347873422896,0.003836860238645046,0.02403603822362105,0.602445288376663,0.5112960367698387
1.0,-0.05787812802703024,-0.0723476600337878,0.0017953726743802029,0.0021154355417925008,0.005234183912364536,0.23794681042174307,0.20194574258931858
2.0,0.008395333822878392,0.010494167278597989,0.001539390115715164,0.001813818718496497,0.00011012754687119672,0.005838923588818797,0.004955501433183125
3.0,0.07473119143027852,0.09341398928784815,0.0024954514106376134,0.0029403180087395724,0.008726173394670208,0.2854041216481195,0.2422228193860885
4.0,0.14106853610475906,0.1763356701309488,0.00466691515884539,0.005498890753118944,0.03109426856053079,0.5437959386386947,0.4615202635026028
5.0,0.20734639223286966,0.25918299029108705,0.008053436319545188,0.009489130400076857,0.06717582245622972,0.6807964518918517,0.577792762953171
6.0,0.2735038475958261,0.3418798094947826,0.012650965449302764,0.01490626560788158,0.11688180414018882,0.7540649544548496,0.6399758287075163
7.0,0.33948018354380954,0.4243502294297619,0.01845175820733069,0.021741171444432245,0.18007311721709157,0.796519931931314,0.6760074188679447
8.0,0.4052150046812682,0.5065187558515852,0.025444395102649533,0.029980392654766024,0.2565612500294378,0.8229708498097857,0.6984563445067015
9.0,0.4706483677189641,0.5883104596487051,0.03361381142944345,0.039606178933019265,0.34610919693207065,0.8403900475428021,0.713240038456073
10.0,0.5357209091507379,0.6696511364384223,0.042941337308975765,0.05059653210265509,0.44843264453327053,0.8523288232670365,0.7233724916920065
11.0,0.6003739714162278,0.7504674642702848,0.053404747728694614,0.06292526507609002,0.5632014149282711,0.8607348544879291,0.7305067004427913
12.0,0.6645497272148467,0.8306871590185584,0.06497832244171993,0.07656207243252187,0.6900411561583237,0.8667463462018906,0.7356086606501746
13.0,0.7281913016414187,0.9102391270517732,0.07763291556284437,0.09147261242087888,0.8285352684159741,0.8710651194616992,0.7392740086810269
14.0,0.7912428918197222,0.9890536147746527,0.09133603467055128,0.10761860016343289,0.9782270528988071,0.8741441116615267,0.7418871530434952
15.0,0.8536498837172025,1.067062354646503,0.10605192919850724,0.12495791180493075,1.1386220687037394,0.8762873536180248,0.7437061250552925
16.0,0.9153589658314794,1.1441987072893491,0.12174168787439983,0.14344469932195061,1.3091906817626178,0.877706080676355,0.7449102004064949
